Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
2331;217;"Breshad Perriman,WR";44;8;5;14;15;61;12;0;0;0;0;0;0;115
6039;219;"Ty Johnson,RB";31;6;3;3;6;41;10;0;0;0;0;0;0;69
4171;220;"Josh Reynolds,WR";54;10;16;25;46;81;13;0;0;0;0;0;0;191
2118;220;"Eric Ebron,TE";34;14;13;17;28;45;9;0;0;0;0;0;0;126
3200;221;"Sterling Shepard,WR";43;27;29;34;33;70;8;0;0;0;0;0;0;201
829;223;"Andy Dalton,QB";81;8;6;94;121;139;10;0;0;0;0;0;0;378
5185;224;"Allen Lazard,WR";33;24;17;21;21;54;8;0;0;0;0;0;0;145
7535;224;"Hunter Long,TE";18;0;0;2;5;18;7;0;0;0;0;0;0;32
2315;226;"Todd Gurley,RB";44;38;31;32;34;67;14;0;0;0;0;0;0;216
1817;226;"Sammy Watkins,WR";24;14;14;33;31;47;2;0;0;0;0;0;0;141
4033;228;"David Njoku,TE";34;20;22;32;26;44;14;0;0;0;0;0;0;158
4962;229;"Sony Michel,RB";51;14;17;22;20;63;9;0;0;0;0;0;0;145
6909;229;"Lynn Bowden,WR";27;32;29;35;19;37;11;0;0;0;0;0;0;163
7572;230;"Kylin Hill,RB";10;0;1;3;4;13;1;0;0;0;0;0;0;22
7729;230;"Dez Fitzpatrick,WR";37;0;0;0;0;37;10;0;0;0;0;0;0;47
830;231;"A.J. Green,WR";51;16;21;43;32;75;12;0;0;0;0;0;0;199
7554;231;"Tre' McKitty,TE";17;0;1;0;0;13;8;0;0;0;0;0;0;22
5947;234;"Jakobi Meyers,WR";38;35;23;30;24;55;11;0;0;0;0;0;0;178
7574;236;"Larry Rountree,RB";12;0;0;0;0;14;2;0;0;0;0;0;0;16
2307;237;"Marcus Mariota,QB";30;11;69;29;47;53;6;0;0;0;0;0;0;215
6011;237;"Gardner Minshew,QB";34;16;22;26;38;56;9;0;0;0;0;0;0;167
6960;237;"Tyler Johnson,WR";50;18;40;55;37;69;17;0;0;0;0;0;0;236
7541;237;"Cornell Powell,WR";17;0;0;0;1;14;8;0;0;0;0;0;0;23
6850;237;"Harrison Bryant,TE";40;26;49;45;36;66;6;0;0;0;0;0;0;228
6918;238;"Salvon Ahmed,RB";46;11;16;18;13;81;13;0;0;0;0;0;0;152
5284;239;"Jeffery Wilson,RB";29;37;52;53;77;64;5;0;0;0;0;0;0;288
5001;239;"Dalton Schultz,TE";42;13;15;20;21;61;9;0;0;0;0;0;0;139
7694;239;"Tommy Tremble,TE";14;0;0;0;0;16;3;0;0;0;0;0;0;19
7559;240;"Ihmir Smith-Marsette,WR";18;0;0;0;2;15;8;0;0;0;0;0;0;25
538;241;"Emmanuel Sanders,WR";45;7;3;24;21;54;12;0;0;0;0;0;0;121
6824;242;"Donovan Peoples-Jones,WR";43;38;26;51;33;77;8;0;0;0;0;0;0;233
5086;242;"Marquez Valdes-Scantling,WR";19;6;14;20;14;22;5;0;0;0;0;0;0;81
5955;243;"Hunter Renfrow,WR";16;15;13;17;16;24;6;0;0;0;0;0;0;91
5845;244;"Dwayne Haskins,QB";35;27;20;24;27;54;9;0;0;0;0;0;0;161
7539;247;"Gerrid Doaks,RB";15;0;1;0;0;12;5;0;0;0;0;0;0;18
4454;247;"Kendrick Bourne,WR";31;0;3;24;27;52;11;0;0;0;0;0;0;117
7589;248;"Ian Book,QB";7;0;0;0;0;11;1;0;0;0;0;0;0;12
7599;249;"Jermar Jefferson,RB";13;0;5;2;5;16;2;0;0;0;0;0;0;30
5013;250;"Anthony Miller,WR";38;11;11;25;24;60;11;0;0;0;0;0;0;142
7045;251;"Joshua Kelley,RB";24;16;17;21;23;38;4;0;0;0;0;0;0;119
5549;251;"Darrel Williams,RB";16;4;5;7;13;18;4;0;0;0;0;0;0;51
7608;253;"Khalil Herbert,RB";11;0;0;1;4;9;3;0;0;0;0;0;0;17
7602;254;"Kylen Granson,TE";20;0;0;0;0;17;3;0;0;0;0;0;0;20
7794;255;"Chris Evans,RB";24;0;0;0;0;24;5;0;0;0;0;0;0;29
1848;257;"James White,RB";16;10;16;22;20;28;4;0;0;0;0;0;0;100
7603;257;"Shi Smith,WR";9;0;0;0;2;7;4;0;0;0;0;0;0;13
