League_ID;Name;Rosters;QB;RB;WR;TE;Flex;SFlex;BN;Total_Players;Start_Players;Taxi_Slots;Rec_Bonus;Rec_RB;Rec_WR;Rec_TE;Pass_TD;Pass_Int;Old_League_ID
784550521515216896;"Shane Don't Draft Kittle ";14;1;2;2;1;3;1;12;22;10;5;6.0;1.0;0.5;0.0;0.0;-1.0;651851480751493120
784478479088521216;"$10 - Make Ya Holla 2";14;1;2;3;2;4;1;16;29;13;7;4.0;1.0;0.5;0.0;0.0;-1.0;650109736309563392
784471477692022784;"Quarantine and Chill";12;0;0;0;0;8;2;15;25;10;3;6.0;1.0;1.0;0.0;0.0;-2.0;650003452411346944
784458434576842752;"Fantasy Addicts";12;1;2;3;1;2;1;18;28;10;5;3.0;0.5;2.0;0.0;0.0;-1.0;650043481473007616
784419816021798912;"12 Angry Men";12;1;2;3;1;2;1;17;27;10;4;6.0;1.0;0.5;0.0;0.0;-3.0;650031787665338368
778028160662044672;"Louisiana Sports League";12;1;2;3;1;2;1;14;24;10;4;6.0;1.0;0.5;0.0;0.0;-2.0;0
785592398259613696;"Bestball Dyno Prestige Memorabilia ";12;1;2;3;1;3;1;17;28;11;0;6.0;1.0;1.0;0.0;0.0;-1.0;724272829339619328
781991500945924096;"The League";12;1;2;3;1;2;1;21;31;10;5;4.0;1.0;0.0;0.0;0.0;-1.0;0
784470759258058752;"High Stakes Neighborhood ";12;1;2;2;1;3;1;14;24;10;0;5.0;0.6;0.6;0.0;0.3;-2.0;689303008281964544
784468329615196161;"Aaron Rodgers' Neighborhood";12;1;2;2;1;2;1;15;24;9;0;5.0;0.7;0.6;0.0;0.3;-2.0;665290287148498944
784472055511965696;"Bestball Beer Call 🍺";12;1;2;3;1;3;1;13;24;11;0;5.0;0.5;1.0;0.0;0.5;-1.0;725193137047314432
784471656671371264;"League of Savages";12;1;2;2;1;2;1;17;26;9;0;4.0;0.5;0.5;0.0;0.0;-3.0;650022309779832832
780120939047309312;"For the people that cant wait to draft";12;1;2;3;1;4;1;12;24;12;4;6.0;1.0;0.5;0.0;0.0;-3.0;0
784623710165381120;"Competitive Dynasty League";12;1;2;3;1;2;1;12;22;10;4;6.0;1.0;0.0;0.0;0.0;-1.0;689932378981896192
784439884944412672;"14 team SF Sleeper League";14;1;2;3;1;2;1;12;22;10;4;4.0;1.0;0.5;0.0;0.0;-1.0;700844008657723392
785465619226161152;"Leighbert’s Bar Mitzvah";12;1;2;3;1;3;1;19;30;11;0;6.0;1.0;0.5;0.3;0.0;-1.0;650454216141275136
785462308565610496;"Corona Bowl";12;1;2;2;2;2;1;22;32;10;6;6.0;1.0;0.8;0.0;0.0;-2.0;651244071012093952
785450854529560576;"DrunkIrishmans Encore Dynasty";12;1;2;2;1;4;1;13;24;11;4;6.0;1.0;0.5;0.0;0.0;-1.0;654784853614624768
785348133868691456;"Butt Stuff ";12;1;2;2;2;4;1;17;29;12;5;4.0;1.0;0.5;0.0;0.0;-2.0;650119571222667264
785254005440937984;"U r bored. SF te prem. 40$ buy in, 200 faab all yr";12;1;2;2;1;5;1;15;27;12;4;6.0;1.0;1.0;0.0;0.0;-1.0;686717472144957440
785251705733398528;"Persian Dynasty SF TE Prem";12;1;2;2;1;3;1;16;26;10;4;6.0;1.0;0.5;0.0;0.0;-2.0;654090252490706944
785248207155404800;"From Campus to Canton";12;1;1;1;1;6;1;18;29;11;5;6.0;1.0;0.8;0.3;0.0;-1.0;650157949712445440
785209047933644800;"Windy Dynasty League";14;1;2;3;1;2;1;15;25;10;4;6.0;1.0;1.0;0.0;0.0;-2.0;669652418010640384
785079571300163584;"Early Bird Gets The Worm";12;1;2;2;1;2;1;19;28;9;5;4.0;1.0;1.0;0.0;0.0;-1.0;672761662008274944
785077224033333248;"Roc Nation";14;1;2;3;1;4;1;16;28;12;7;6.0;1.0;0.0;0.0;0.0;-1.0;649910387847802880
785075410714173440;"Funkmaster FLEX";12;1;2;2;1;4;1;23;34;11;3;5.0;1.0;0.5;0.0;0.0;-1.5;662317987361013760
785063068043505664;"Wolf Den";12;1;2;3;1;2;1;15;25;10;5;6.0;0.5;1.0;0.0;0.5;-1.0;659115059221446656
785053004423438336;"Darko Dynasty";12;1;2;3;1;2;1;14;24;10;5;4.0;1.0;0.5;0.0;0.0;-1.0;650472259080769536
785021653452267520;"Social Distancing";12;1;2;2;1;2;1;13;22;9;3;4.0;1.0;1.0;0.0;0.0;-2.0;650831288265191424
