tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
644585391776681984;1608043664111;643570949232353280;"2021-07.12; 2021-08.12; 2021-08.01";2022-01;6;11;28
644686636797489152;1608067971468;643180020554092544;"2021-01.06; 2021-10.06; 2021-15.06; 2022-01";2021-01.01;417609044493082624;607312272582316032;30
644698272765677568;1608070626219;642881605513330688;"2021-06.04; 2021-08.04";2021-04.02;461295421063426048;330503747216093184;30
644700356034519040;1608071091089;640390155361923072;"2021-01.08; 2021-12.08; 2021-06.08";"2021-01.02; 2021-12.02; 2021-06.02";340500247417520128;340503798705369088;25
644702458119028736;1608071694966;644592569770151936;"2021-02.08; 2021-03.08; 2022-02";"2021-01.09; 2021-10.09; 2022-02";471828047557816320;614246923846651904;32
644708518464663552;1608073095196;642193452871884800;"2021-06.04; 2022-02";2021-05.03;431330626419826688;79379013030002688;38
644708598701727744;1608073603900;644592569770151936;"2021-10.13; 2021-03.13; 2022-01; 2022-02";"2021-04.08; 2021-05.08; 2022-01; 2022-04";614246923846651904;457001369958608896;32
644714311951941632;1608074842151;644592569770151936;"2021-06.08; 2021-07.08; 2021-08.08; 2022-05";"2021-10.12; 2021-11.12; 2021-03.12; 2022-01";343059082384531456;614246923846651904;32
644714634426810368;1608074493153;642193452871884800;2021-06.04;"2021-07.04; 2023-01; 2023-03";79379013030002688;431330626419826688;38
644720349400875008;1608075983022;642881605513330688;"2021-05.06; 2021-07.06";2021-03.07;461295421063426048;571885294823559168;30
644734225915953152;1608079182858;642881605513330688;"2021-11.04; 2021-13.04; 2021-02.04; 2021-09.04";"2021-03.07; 2021-11.06; 2021-13.06; 2021-08.06; 2021-09.06";571885294823559168;330503747216093184;30
644785776856510464;1608091553970;642193452871884800;"2021-11.06; 2021-08.06";"2021-11.08; 2021-09.08; 2022-02; 2022-03";640680475949621248;695821103624433664;38
644786475220697088;1608091679256;643180020554092544;"2021-01.10; 2021-15.10; 2021-02.10";"2021-01.08; 2021-15.08; 2021-02.08";493867998407290880;309396564642627584;30
644800136165310464;1608094971452;642193452871884800;2021-02.07;"2021-05.03; 2021-03.04; 2022-01";79379013030002688;417609044493082624;38
644851470591660032;1608119001758;642193452871884800;"2021-09.08; 2021-13.06";"2021-11.05; 2021-09.05";338417795534438400;695821103624433664;38
644950985185259520;1608130998560;644283230517817344;2021-01.02;"2021-03.06; 2021-05.06; 2022-01; 2022-02";617978590180511744;433332712762241024;38
644956285770506240;1608132303229;643180020554092544;2021-02.08;"2021-03.09; 2021-05.09";574668719235313664;309396564642627584;30
644969012601638912;1608136260412;643180020554092544;"2021-04.09; 2021-06.09; 2021-07.09; 2021-08.09; 2022-02";2021-02.06;607312272582316032;574668719235313664;30
644987138215084032;1608139828647;642193452871884800;2021-10.05;"2021-10.08; 2021-11.06";640680475949621248;338417795534438400;38
644995755014193152;1608141577691;643570949232353280;"2021-11.11; 2021-13.11; 2022-02; 2023-01";"2021-10.12; 2021-09.12";11;567216326543413248;28
